LINK_ID,ROAD_RANK,LANE_NUM,전일
1016955.0,특별광역시도,2.0,18496
1016960.0,특별광역시도,4.0,16121
1016961.0,특별광역시도,4.0,15654
1016962.0,특별광역시도,8.0,37946
1016963.0,특별광역시도,8.0,40364
1016968.0,특별광역시도,2.0,19754
1016969.0,특별광역시도,5.0,39177
1016970.0,특별광역시도,6.0,20387
1016971.0,특별광역시도,6.0,16318
1016972.0,특별광역시도,1.0,12297
1016973.0,특별광역시도,2.0,26688
1016974.0,특별광역시도,4.0,35441
1016976.0,특별광역시도,3.0,22760
1016980.0,특별광역시도,4.0,20939
1016981.0,특별광역시도,4.0,22069
1016983.0,특별광역시도,1.0,4476
1016984.0,특별광역시도,3.0,23115
1017000.0,특별광역시도,3.0,13025
1017001.0,특별광역시도,4.0,13658
1017002.0,특별광역시도,4.0,9050
1017003.0,특별광역시도,1.0,11239
1017004.0,특별광역시도,1.0,4712
1017005.0,특별광역시도,3.0,22160
1017006.0,특별광역시도,1.0,9106
1017007.0,특별광역시도,6.0,27393
1017008.0,특별광역시도,6.0,24903
1017009.0,특별광역시도,1.0,7560
1017018.0,특별광역시도,2.0,7521
1017019.0,특별광역시도,1.0,4723
1017033.0,특별광역시도,4.0,25216
1017034.0,특별광역시도,1.0,8953
1017035.0,특별광역시도,4.0,13073
1017058.0,특별광역시도,2.0,18492
1017060.0,특별광역시도,4.0,17043
1017061.0,특별광역시도,2.0,26551
1017062.0,특별광역시도,1.0,14334
1017063.0,특별광역시도,1.0,5832
1017064.0,특별광역시도,2.0,27293
1017065.0,특별광역시도,2.0,13867
1017066.0,특별광역시도,3.0,24047
1017067.0,특별광역시도,2.0,11329
1017068.0,특별광역시도,2.0,11372
1017080.0,특별광역시도,1.0,4273
1017082.0,특별광역시도,1.0,3715
1017089.0,특별광역시도,2.0,28959
1017090.0,특별광역시도,4.0,18885
1017099.0,특별광역시도,1.0,7937
1017100.0,특별광역시도,2.0,16909
1017106.0,특별광역시도,2.0,12660
1017107.0,특별광역시도,4.0,28844
1017108.0,특별광역시도,1.0,3552
1017109.0,특별광역시도,3.0,23281
1017110.0,특별광역시도,4.0,29142
1017111.0,특별광역시도,1.0,6998
1017112.0,특별광역시도,4.0,23770
1017117.0,특별광역시도,1.0,1568
1017118.0,특별광역시도,2.0,18093
1017120.0,특별광역시도,1.0,1102
1017121.0,특별광역시도,2.0,12587
1017122.0,특별광역시도,2.0,16600
1017123.0,특별광역시도,3.0,20439
1017124.0,특별광역시도,2.0,17166
