아파트,동명,법정동,지번,거래금액,전용면적
광진We’vePark,101,군자동,503,"132,500",138.14
두리,,중곡동,135-13,"57,000",82.3
동우아파트,,구의동,31-9,"57,000",64.995
스타파크아파트,,구의동,80-37,"53,000",59.23
더메종건대,1,화양동,23-5,"27,000",18.22
광진스위트엠아파트,아파트101동,화양동,532,"93,000",84.99
구의현대홈시티,,자양동,779-8,"100,000",84.93
현대13차폴라트리움,,구의동,199-23,"178,000",154.92
스카이빌2차,,자양동,769-3,"38,000",49.53
세림리오빌,101,구의동,659,"70,000",84.67
삼민,,중곡동,609,"45,800",59.94
대영2동,대영아파트2,중곡동,133-9,"64,500",84.33
자양동현대,202,자양동,645-5,"134,000",84.55
태천해오름주상복합,,자양동,219-31,"48,000",47.05
구의자이르네,구의자이르네,구의동,671,"88,500",59.7915
로얄동아,제101,자양동,644,"152,500",114.28
명성,명성아파트,자양동,607-31,"84,000",64.85
현대8(803동),803,광장동,569,"119,800",59.94
위너스힐(111-89),,화양동,111-89,"46,400",25.585
현대팰리스,1,구의동,231-18,"73,971",83.8
구의동현진에버빌,101,구의동,660,"97,800",84.997
한영해시안,,자양동,858,"70,000",69.77
광진파크하우스,101동,구의동,682,"58,500",45.5821
강변에스케이뷰,,구의동,667,"152,500",84.81
대보아파트(798-3),101,자양동,798-3,"77,000",78.96
테라팰리스중곡1,,중곡동,624-19,"68,500",71.803
자양10차현대홈타운,1003,자양동,792,"124,000",84.46
삼성광장1,1,광장동,561,"160,000",79.53
상록타워아파트,,광장동,570,"120,000",84.9
에스케이,101,중곡동,292,"54,000",58.43
옥산그린타워,,구의동,587-64,"11,222",15.46
광진하우스토리한강,101,자양동,813,"247,000",141.54
테라팰리스건대2차,102,자양동,860,"105,000",75.03
현대강변,101,자양동,673,"114,500",82.08
광장자이,102,광장동,581,"226,000",158.26
아크로리버,B,구의동,589-10,"170,000",150.6416
자양동명진센트라임,,자양동,219-11,"37,500",30.49
아스하임(111-102),,화양동,111-102,"21,000",14.11
화양타워,,화양동,110-37,"9,000",17.73
아차산한라아파트,,구의동,662,"69,000",60.39
전농동하우스토리,,전농동,32-4,"63,500",83.115
(아이엔에스새터),,장안동,404-13,"49,000",68.86
신답극동,1,답십리동,464-1,"51,000",46.53
양지쉐르빌아파트(415-1),1,장안동,415-1,"44,000",56.4
장안예원(418-4),,장안동,418-4,"20,000",32.38
프라하임장안1,,장안동,432-11,"23,800",21.34
가우디트윈캐슬1,,장안동,374-9,"35,000",48.97
공감대(440-12),,장안동,440-12,"59,000",100.21
신설동역대우아이빌1,101,용두동,236-1,"48,000",47.988
형인허브빌101동(417-3),,장안동,417-3,"64,600",100.83
투니온,,이문동,256-2,"9,500",15.38
청원파크빌,,장안동,570,"35,000",52.36
정암(363-11),,장안동,363-11,"48,000",71.3
