아파트,동명,법정동,지번,거래금액,전용면적
현대4,,둔촌동,89,"98,500",84.94
삼성광나루,103,암사동,508,"118,000",157.24
강동리버스트4단지,406,강일동,114,"84,650",59.99
배재현대,103,고덕동,312,"102,800",59.94
해가든,,성내동,387-48,"65,500",84.81
SM해그린12차,,길동,97-6,"67,500",84.56
힐스테이트 강동 리버뷰,103,암사동,675,"120,000",84.9979
현대(명일),,명일동,251-1,"86,500",84.66
코랜드빌리지,,성내동,465-1,"58,000",57.18
힐데스하임올림픽파크아파트,101,성내동,608,"93,500",77.94
이연아마빌레(293-8),,천호동,293-8,"65,000",141.08
둔촌하이츠,,둔촌동,545,"94,500",84.54
강동역신동아파밀리에,1101,천호동,447-17,"120,000",94.61
고덕리엔파크1단지,102,강일동,707,"106,000",84.98
거산유팰리스2차,,길동,414-9,"40,337",34.32
인왕산2차아이파크,,무악동,88,"111,500",84.2427
이화에수풀,이화에수풀,연건동,195-10,"17,700",16.98
경희궁의아침2단지,,내수동,71,"255,000",140.78
현대뜨레비앙,,익선동,55,"33,000",28.1
디팰리스,,신문로2가,171,"300,000",118.749
이지마루종로,,효제동,126-2,"30,000",20.87
종로청계힐스테이트,,숭인동,766,"81,500",59.9426
동대문,,창신동,328-17,"31,000",28.8
광화문스페이스본(106동),,사직동,9-1,"209,500",150.4
종로아인스빌,,숭인동,1392-1,"11,000",12.15
동대문맨션,,창신동,578-5,"34,000",74.38
명륜동주상복합아남아파트,301,명륜2가,237,"65,000",47.43
운현신화타워,,익선동,30-6,"70,000",78.23
숭인한양LEEPS,,숭인동,1421-2,"10,700",12.78
창신쌍용1,,창신동,702,"76,000",79.87
MID그린(8동),,창신동,602-1,"40,000",59.94
버넷하임1,,숭인동,1421,"12,000",17.93
효성쥬얼리시티,,인의동,48-2,"98,000",92.81
아르젠종로,,연지동,163-3,"17,000",18.02
종로센트레빌,,숭인동,2-1,"87,000",59.92
광화문스페이스본(101동~105동),,사직동,9,"199,000",136.4
종로중흥S클래스,,숭인동,202-3,"12,300",19.466
종로유케이201,,숭인동,201-11,"8,600",12.08
창신쌍용2,,창신동,703,"82,500",115.53
인왕산아이파크,,무악동,60,"137,000",84.858
경희궁자이(2단지),,홍파동,199,"226,000",84.8359
경희궁자이(4단지),,교북동,126,"114,000",45.879
경희궁자이(3단지),,평동,233,"175,000",59.7547
일성빌라트,,평창동,145-5,"65,500",59.82
아남2,,명륜2가,236,"94,000",59.4
경희궁롯데캐슬,,무악동,89,"166,800",84.8792
묵정,,묵정동,11-67,"51,000",52.46
청계랜드힐아파트,,황학동,1531,"37,700",29.87
프라임2,,신당동,432-2837,"73,300",67.33
SK리더스뷰남산,,회현동1가,206,"242,000",176.26
약수역더시티,,신당동,857,"27,500",19.06
신당아르브,,신당동,160-5,"14,000",18.08
청계천두산위브더제니스,,흥인동,13-1,"278,000",207.5717
다오아트빌,,신당동,432-498,"33,750",53.68
위더스하임,102동,흥인동,142-1,"27,000",23.82
신당블루카운티,,황학동,846,"65,000",59.56
DUO302,,황학동,819,"15,900",15.97
순화동더샵,,순화동,151,"110,000",84.99
삼성파크빌,,을지로5가,39-1,"78,500",84.92
(372-66),다다유크레스,신당동,372-66,"60,000",63.9
이지마루오장,이지마루 오장,오장동,206-34,"30,000",22.46
LIG서울역리가,,만리동1가,231,"143,000",84.9866
경서,,남창동,205-44,"39,000",56.11
우일타운,,흥인동,3-4,"78,000",114.57
서울역센트럴자이,,만리동2가,273,"168,750",72.9733
신당역솔하임,,신당동,140-23,"17,500",14.08
신당동파라다이스,,신당동,846,"88,500",84.77
청구e편한세상,,신당동,852,"145,000",84.95
힐스테이트남산,,묵정동,35,"55,000",29.17
동대문와이즈캐슬,,흥인동,119,"14,500",15.55
삼정아트테라스정동,,정동,37,"42,000",23.4274
한양I-Class,,황학동,787,"13,100",16.37
삼성사이버빌리지,,중림동,200,"122,000",59.7
삼성홈타운,,신당동,849,"64,500",52.59
황학아크로타워,,황학동,2523,"124,000",134.301
신당푸르지오,,신당동,850,"125,000",84.76
래미안하이베르,,신당동,851,"131,500",84.97
남산타운,,신당동,844,"106,200",59.94
한진해모로,,신당동,845,"93,000",84.96
신당KCC스위첸,,신당동,856,"108,000",59.7807
세운푸르지오헤리시티,,인현동2가,240,"44,000",28.4064
약수하이츠,,신당동,842,"122,500",84.88
남산센트럴자이,,충무로4가,306,"115,500",82.413
반도,,이촌동,301-170,"332,000",136.21
대호드림빌(38-213),,용문동,38-213,"81,500",83.65
용산데시앙포레,,효창동,288,"128,500",59.7642
용산큐브,,문배동,24-4,"19,000",13.01
용암한신,,용산동2가,47-5,"79,000",72.66
용산동아파트,,이태원동,669,"58,500",44.76
힐튼빌리지1차,,후암동,244-91,"92,000",90.51
용산파크자이,,한강로1가,50-1,"229,000",133.09
래미안용산더센트럴,,한강로2가,422,"495,000",161.48
래미안첼리투스,,이촌동,436,"499,998",124.02
용산파크타워(24-1),,용산동5가,24-1,"283,000",95.96
지오베르크,,문배동,17-1,"95,000",76.02
GS자이,,청암동,181,"248,000",201.23
르가든더메인한남,,한남동,386,"630,000",233.19
용산e편한세상,,신계동,48,"209,500",84.21
강변삼성스위트,,원효로4가,178,"119,500",72.84
효창한신,2,효창동,5-145,"112,000",121.38
산호,,원효로4가,118-16,"202,000",103.67
LG한강자이,,이촌동,430,"445,000",169.44
브라운스톤남산,,후암동,458,"184,000",166.98
G&D용산드림,,이촌동,212-41,"69,000",15.94
용산케이씨씨스위첸,,효창동,286,"165,000",84.91
아스테리움용산,,한강로2가,419,"350,000",121.17
한남아이파크애비뉴,,한남동,828,"94,000",49.6971
센트레빌아스테리움서울,,동자동,45,"292,500",166.6
화이트타운,,효창동,5-45,"80,000",84.69
점보,,이촌동,300-10,"185,000",175.97
나인원한남,,한남동,829,"1,580,000",244.3478
강서,,이촌동,193-5,"95,000",53.26
현대맨숀,,이촌동,301-160,"270,000",139.97
한남힐스테이트,,한남동,807,"187,500",84.86
한강(대우),,이촌동,415,"235,000",84.98
신동아1,,보광동,448,"320,000",84.93
한남동리첸시아,,한남동,72-1,"70,500",37.53
용산푸르지오써밋(420),,한강로2가,420,"412,500",169.055
그린파크(코오롱하늘채),,서빙고동,293,"125,000",59.98
남산대림,,이태원동,729,"147,500",59.92
용산더프라임,,원효로1가,41,"166,000",84.976
한강로대우아이빌,,한강로2가,2-11,"37,200",29.53
왕궁,,이촌동,300-11,"245,000",102.48
청화1,,이태원동,22-2,"330,000",142.71
금호베스트빌1,,서빙고동,296,"172,000",84.94
임선웰빙아파트,,효창동,5-72,"87,000",84.54
아일랜드캐슬,,한남동,684-85,"91,500",62.51
한남더힐,,한남동,810,"1,093,000",208.478
CJ나인파크,,문배동,24-6,"147,000",84.98
이안용산3차,301,문배동,40-39,"95,000",84.8
이안용산1차(101동),,문배동,11-14,"115,500",84.95
한남해피트리,,한남동,827,"136,000",65.17
이촌코오롱(A),,이촌동,412,"219,700",84.78
후암미주,,후암동,423-1,"88,600",62.78
세방리버하이빌,,신창동,102,"115,700",84.77
현대한강,,이촌동,400,"205,000",84.88
한강맨숀,,이촌동,300-23,"384,940",87.54
북한강(성원),,이촌동,422,"134,000",59.55
브라운스톤,,용문동,90,"140,000",84.99
효창파크푸르지오,,효창동,274,"144,000",59.41
한가람,,이촌동,404,"280,000",114.96
이촌동삼성리버스위트,,이촌동,426,"340,000",134.9
리버힐삼성,,산천동,193,"113,000",59.55
리버빌(삼성),,보광동,151,"165,000",84.74
센트럴파크,,한강로3가,98,"340,000",102.8617
용산롯데캐슬센터포레,,효창동,287,"168,000",59.79
강촌,,이촌동,402,"160,000",59.12
옥수어울림,,옥수동,560,"157,000",84.699
왕십리금호어울림,,마장동,820,"111,600",59.97
극동그린,101,옥수동,436,"110,000",114.32
아트리움,,마장동,768-1,"61,000",93.05
왕십리지웰,101,하왕십리동,1064,"100,500",84.957
롯데,103,금호동4가,1250,"119,500",84.99
서울숲행당푸르지오,,행당동,376,"105,000",59.68
금호타운2차아파트,,성수동2가,832,"104,000",59.94
극동미라주,102,하왕십리동,1058,"83,000",59.4
레미테지,,옥수동,220-2,"305,000",224.09
뚝섬현대,,성수동1가,13-157,"112,000",84.22
브라운스톤2차,,금호동4가,1550,"144,000",84.98
한신무학,,하왕십리동,990,"84,500",62.41
강변건영아파트,,성수동1가,710,"210,000",84.941
서울숲푸르지오,,금호동4가,340,"183,000",84.6
신금호파크자이,,금호동2가,1,"153,000",59.98
행당두산위브,,행당동,375,"127,500",59.99
서울숲성수현대,,성수동1가,676-5,"130,000",84.73
대림(2차),,응봉동,97,"98,000",59.91
서울숲아이파크,,송정동,104,"117,000",84.87
옥수파크힐스117동~125동,,옥수동,528-1,"194,500",84.92
서울숲아이파크리버포레,,성수동1가,721,"170,000",59.9925
금호현대,,응봉동,98,"92,000",59.91
텐즈힐(1단지),,하왕십리동,1066,"155,000",72.52
왕십리KCC스위첸,,하왕십리동,1002,"110,000",64.236
서울숲리버그린동아아파트,,응봉동,276,"113,000",59.98
서울숲삼부아파트,,행당동,147,"150,000",84.09
금호삼성래미안,,금호동1가,1500,"132,000",84.45
브라운스톤금호,,금호동4가,1507,"142,000",84.838
옥수삼성,,옥수동,250,"149,000",59.7
삼웅아파트2동,,마장동,778-2,"77,000",101.04
한신한강,,성수동2가,442,"260,000",84.97
왕십리풍림아이원,,하왕십리동,1061,"114,500",84.417
신금호두산위브,,금호동1가,1818,"111,250",84.32
왕십리자이,,하왕십리동,1071,"148,000",84.99
텐즈힐(2단지),,상왕십리동,811,"144,500",59.96
옥수파크힐스101동~116동,,옥수동,528,"185,000",59.88
행당한진타운,,행당동,346,"158,500",114.62
힐스테이트서울숲리버,,금호동4가,1553,"245,000",114.86
대림(1차),,응봉동,100,"173,000",113.71
금호자이1차,,금호동2가,1215,"163,000",117.18
래미안하이리버,,금호동2가,1217,"139,000",59.99
한남하이츠,,옥수동,220-1,"300,000",149.39
서울숲2차푸르지오,,금호동4가,235,"183,000",84.898
트리마제,,성수동1가,718,"400,000",84.8111
강변금호타운,,성수동2가,830,"235,000",84.96
서울숲리버뷰자이,,행당동,380,"200,000",84.9
강변임광,,성수동2가,609-2,"200,000",59.67
금호1차푸르지오,,금호동3가,917,"114,000",59.97
서울숲르씨엘,,금호동4가,1555,"139,500",84.0492
서울숲 한신 더 휴,,행당동,349,"154,000",114.97
옥수하이츠,,옥수동,100,"239,000",114.72
이편한세상금호파크힐스,,금호동1가,1823,"160,000",59.949
마장동중앙하이츠,,마장동,819,"83,800",60
센트라스,,하왕십리동,1070,"153,000",59.94
서울숲힐스테이트,,성수동2가,843,"300,000",117.13
래미안 옥수 리버젠,,옥수동,561,"175,000",59.25
대림강변타운,,응봉동,15,"114,500",59.76
세림,,마장동,784,"105,000",84.93
래미안프리미어팰리스,,자양동,859,"132,000",84.79
AZ0213,,구의동,252-9,"37,500",42.97
한강아남,,자양동,830,"89,900",59.87
구의현대6단지,,구의동,610,"128,500",84.92
자양7차현대홈타운,,자양동,788,"107,000",59.94
구의현대하이엘,,자양동,779-11,"68,500",59.4
자양힐101동,,자양동,810,"84,000",82.75
이튼타워리버5차,,자양동,856,"225,000",128.39
광진코지웰,,화양동,113-1,"13,500",14
도성,,구의동,235-30,"52,000",70
한강극동,,자양동,57-103,"116,500",84.45
중곡2단지,,중곡동,190-26,"47,000",55.87
중곡1단지,,중곡동,191-77,"39,800",48.5
스타파크,,구의동,59-1,"79,500",53.39
우신,,구의동,208-52,"48,500",76.5
솔렌시아,,구의동,251-177,"30,000",33.95
유진스웰,,광장동,121,"200,000",165.327
한솔리베르,,자양동,672,"130,000",83.31
아차산포레안,,구의동,663,"110,000",84.68
자양강변I-Park,,자양동,809,"164,000",84.95
서원힐탑,,군자동,100-109,"70,000",84.57
자양8차현대홈타운,,자양동,789,"154,000",80.47
자양하늘채베르,,자양동,862,"90,000",46.971
광진파크프라이빗,,구의동,670,"57,500",47.1
성동강변파크빌101(강변타워),,구의동,657,"83,000",59.92
삼성광장2,,광장동,453-1,"91,000",58.62
구의현대7단지현대홈타운,,구의동,587-54,"98,000",59.97
파르네빌,,구의동,587-58,"110,000",147.59
현대홈타운12차,,광장동,580,"248,000",147.23
자양현대6,,자양동,786,"103,000",59.98
자양9차현대홈타운,,자양동,790,"132,000",82.56
삼성로얄3,,중곡동,109-2,"60,000",83.07
자양현대5,,자양동,642,"86,500",59.72
e편한세상광진그랜드파크,,구의동,680,"205,000",115.9468
롯데캐슬리버파크시그니쳐,,자양동,863,"175,880",84.99
주성힐스톤,,구의동,664,"71,500",70.96
욱현하이브Ⅲ,,중곡동,699,"15,750",18.12
우방리버파크,,자양동,793,"120,000",59.87
구의강변우성아파트,,구의동,546-7,"139,000",84.76
광진트라팰리스,,자양동,854,"290,000",169.53
워커힐,,광장동,145-8,"350,000",226.45
삼보글로벌102동,,중곡동,647-2,"59,500",66.09
금호베스트빌,,광장동,578,"131,500",84.91
우성6,,자양동,515-1,"128,500",84.72
일성파크,,군자동,99,"72,000",59.96
"현대8(801동,802동)",,광장동,565,"147,000",84.92
이튼타워리버2차,,자양동,507-6,"153,900",84.61
솔렌시아2,,구의동,236-25,"33,200",31.13
이튼타워리버3차,,자양동,855,"154,000",84.96
퓨전빌,,구의동,244-6,"70,000",83.69
한강로얄,,자양동,498-2,"122,000",123.39
이튼타워리버1차,,자양동,510-5,"142,000",84.17
현대5,,광장동,554-7,"162,000",84.53
엘림퍼스트중곡동,,중곡동,190-29,"55,000",54.13
구의현대2단지,,구의동,611,"158,500",84.86
광나루현대,,광장동,567,"150,000",84.92
광장현대9단지,,광장동,576,"142,000",84.96
현대프라임,,구의동,631-1,"221,000",126.66
자양우성7,,자양동,783-1,"110,000",59.94
자양삼성,,자양동,787,"102,900",59.76
자양2현대,,자양동,761,"130,000",84.88
극동1,,광장동,218-1,"242,000",126.94
한강우성,,자양동,87-1,"125,000",84.72
한라아파트,,자양동,762,"104,000",59.96
극동2,,광장동,218-1,"160,000",75.55
광장힐스테이트,,광장동,582,"193,000",84.9
워커힐푸르지오,,광장동,148-4,"102,000",65.66
더샵스타시티,,자양동,227-7,"211,000",127.95
자양호반써밋,,자양동,861,"145,000",59.0905
화양현대,,화양동,234,"82,500",59.97
그랜드아파트,,자양동,636-11,"65,000",59.1
래미안파크스위트,,구의동,668,"127,500",59.98
씨즈건대힐스,,화양동,530,"16,250",14.23
청계천대성스카이렉스1,,신설동,109-13,"76,700",75.24
답십리엘림퍼스트,,답십리동,1015,"59,500",52.7678
홍릉동부,,청량리동,212,"67,800",59.7
베라체캠퍼스,,회기동,346-18,"26,000",24.011
신이문금호어울림,101,이문동,428,"78,000",84.84
형인허브빌2차(566),202,장안동,566,"69,500",84.94
태솔타운(1차),,장안동,344-8,"21,000",41.67
태솔아파트5차,,장안동,334-3,"45,500",54.36
보광타워,,답십리동,530-4,"24,300",24.27
래미안장안,,장안동,354-2,"95,000",84.774
동대문푸르지오시티(도시형생활주택),도시형생활주택동,용두동,104-3,"17,500",19.51
태솔타워,태솔타워,장안동,364-9,"25,000",45.81
휘경해모로프레스티지,102,휘경동,375,"84,300",59.77
동양1차,,휘경동,115,"66,000",59.85
양우내안애애플,,장안동,373-1,"9,000",15.3388
센시티16,,답십리동,488-18,"10,000",14.244
래미안아름숲,,전농동,688,"92,500",59.9
가우디캐슬,,장안동,415-14,"24,400",28.5
현대홈타운3차,302,장안동,571,"81,300",84.3
휘경,,휘경동,43-66,"35,000",64.93
래미안엘리니티,,용두동,796,"106,500",51.91
이수브라운스톤,,제기동,252,"81,000",84.9
용두롯데캐슬리치,,용두동,794,"95,000",59.9779
휘경베스트빌현대,,휘경동,52,"81,500",114.88
용두두산위브,,용두동,791,"93,500",59.99
태솔아파트1차,,장안동,382-5,"42,000",57.49
동답한신,,답십리동,42,"39,800",35.45
공감대6차(384-1),,장안동,384-1,"50,000",82.47
장안삼성쉐르빌,,장안동,371-1,"82,500",127.75
휘경미소지움,,휘경동,106,"59,500",59.84
래미안 허브리츠,,용두동,792,"110,000",59.96
신답경남,,답십리동,645-8,"60,000",59.24
가야써니빌(373-7),,장안동,373-7,"62,900",114.69
장안평월드메르디앙2차,,장안동,575,"75,000",84.5
르메이에르장안타운6차,,장안동,342-3,"62,000",84.92
안암골벽산,,제기동,153,"70,300",59.94
이문삼성래미안아파트,,이문동,425,"83,500",84.954
청계한신휴플러스,,답십리동,1002,"107,000",73.96
현대썬앤빌청계,,답십리동,530-15,"12,150",14.82
래미안이문2차,,이문동,311,"80,200",59.79
답십리대우,,답십리동,111,"74,200",59.76
장안힐스테이트,,장안동,329-2,"85,700",59.885
브라운스톤휘경,,휘경동,368,"82,000",59.78
동일스위트리버,,휘경동,366,"70,200",59.732
새한그린빌(306-10),,장안동,306-10,"53,000",95.64
르메이에르장안타운3차,,장안동,337-3,"57,000",84.89
어진재,,제기동,1213,"18,300",15.28
래미안미드카운티,,답십리동,1013,"138,000",84.99
신현대,,회기동,65,"73,000",84.96
전농우성,12,전농동,6,"60,000",84.84
장안현대홈타운(336),,장안동,336,"98,500",84.87
래미안크레시티,,전농동,690,"120,000",59.99
동서울한양,,답십리동,41,"51,000",59.67
휘경센트레빌,,휘경동,367,"90,000",84.79
답십리청솔우성,,답십리동,80,"71,800",59.74
래미안위브,,답십리동,1003,"119,500",59.97
장안위더스빌,,장안동,580,"83,000",107.97
미주,,청량리동,235-1,"100,000",86.74
청계푸르지오시티,,답십리동,497-23,"13,500",18.92
클래식타워,,답십리동,493-5,"74,000",105.29
청솔2차우성,,답십리동,80-2,"72,900",82.49
민족통일MJ캠퍼스경희대,,회기동,67-3,"22,900",23.16
래미안장안2차,219,장안동,329-3,"82,000",64.85
전농동삼성래미안,,전농동,155,"77,700",59.93
힐스테이트청계,,답십리동,1009,"127,000",59.94
휘경SK뷰,,휘경동,372,"118,000",84.31
용두아파트,,용두동,39-446,"47,000",47.5
태솔에버빌2차,,장안동,383-10,"49,500",57.65
동대문롯데캐슬노블레스,,전농동,695,"119,000",59.98
이편한세상청계센트럴포레,,용두동,795,"122,000",59.96
전농SK,,전농동,10,"70,000",59.34
전농동신성미소지움,,전농동,687,"85,500",55.371
답십리파크자이,,답십리동,1014,"83,000",49.27
신도,,묵동,167,"53,500",59.89
면목삼익아파트,,면목동,1516,"56,500",59.5
신안3,104,묵동,384,"57,000",59.86
신안1,,묵동,381,"77,000",104.79
석탑,101,신내동,787,"45,500",59.82
상봉듀오트리스,,상봉동,501,"185,000",203.77
SG타워,,상봉동,128-10,"47,500",69.47
범양프레체,,중화동,208-4,"12,000",17.94
위더스빌,,묵동,169-11,"66,000",84.83
상봉베스트원,,상봉동,101-19,"13,500",13.265
용마금호타운,3,면목동,494,"68,500",84.9
풍림,,면목동,1514,"47,000",59.4
극동늘푸른,,묵동,379,"66,000",84.08
한일써너스빌,,상봉동,81-5,"82,000",84.642
신내역금강펜테리움센트럴파크,,망우동,610,"83,000",84.9871
아스테르아파트,,망우동,506-22,"56,000",50.85
포시티,,상봉동,113-1,"11,000",14.855
두산2,,면목동,1510,"73,000",84.77
브라운스톤태릉,,묵동,387,"85,000",84.7094
광남,,신내동,799,"34,600",44.45
금호어울림(580),,망우동,580,"65,000",84.94
신내대림아파트,,묵동,20,"100,000",126.28
주함해븐타워,,상봉동,115-61,"13,100",14.94
현대아이파크,,묵동,385,"85,000",84.9416
태영데시앙2(1411동),,상봉동,498,"62,900",59.86
동성7,,신내동,797,"60,000",84.78
묵동자이(2단지),,묵동,170-1,"99,000",101.9
풀내음(A동),,묵동,58-1,"32,500",57.63
리치카운티,,면목동,1505,"65,000",59.923
신안2,,묵동,382,"53,000",59.845
신내우디안1단지,,신내동,816,"71,200",84.65
신내 데시앙포레,,신내동,817,"89,700",114.54
태영데시앙1,,상봉동,497,"82,500",84.9353
건영캐스빌,,상봉동,499,"76,000",84.6475
용마동아,,면목동,1499,"64,300",84.88
화성.두산아파트,,신내동,656,"59,750",66.96
헤르만스테이트,,묵동,162-17,"19,400",30
면목동금호어울림아파트,,면목동,1528,"74,400",84.8726
마젤란21,,면목동,1531,"61,000",59.923
이편한세상화랑대,,묵동,396,"107,500",84.902
두원,,면목동,1521,"59,000",84.96
동성아파트,,신내동,591,"50,000",59.4
"엘지,쌍용아파트",,상봉동,484,"60,600",68.12
동성네스트빌1동,,상봉동,32-1,"40,000",72.08
사가정센트럴아이파크,,면목동,1545,"122,900",84.87
중화동건영아파트,,중화동,42,"47,500",59.94
개나리,,망우동,213-3,"27,500",41.88
중랑숲리가,,망우동,583,"90,000",110.886
두산4,,면목동,1522,"81,000",84.86
프레미어스엠코,,상봉동,500,"103,000",79.73
용마산하늘채,,면목동,1537,"98,000",84.6147
신내9진흥,,신내동,657,"46,500",49.82
두산3,,면목동,1511,"72,000",84.77
대성유니트,,신내동,803,"71,000",95.89
세원,,묵동,377,"50,000",84.63
태솔에버빌,,상봉동,474-10,"39,400",58.14
동성타워프라자,,신내동,786,"51,500",84.21
중랑숲시티프라디움,,망우동,620,"65,000",55.95
건영2차,,신내동,785,"56,100",57.3
신내두산아파트,,묵동,20,"106,000",126.28
건영2차아파트,,상봉동,63,"72,000",84.96
신내,,묵동,13,"50,000",59.76
동성1,8,신내동,397,"45,800",59.4
면목한신,,면목동,193-1,"32,500",35.3
신영,,면목동,538,"8,900",14.43
동성3,,신내동,618,"50,000",59.4
신내6대주,,신내동,650,"57,800",59.76
리더스,,상봉동,104-10,"29,500",31.05
용마산모아엘가파크포레,,면목동,1549,"65,000",58.66
라온프라이빗,,면목동,1544,"86,300",59.9841
용마한신,,면목동,1077-1,"35,000",35.44
신내11대명,,신내동,661,"45,500",49.77
한신아파트상가동유치원동(103~109),,중화동,450,"57,300",50.37
데시앙,,신내동,317,"80,000",84.3
동구햇살,,묵동,388,"66,400",84.85
구현대,,돈암동,624,"70,135",51.47
정릉힐스테이트3차,310,정릉동,1031,"81,700",84.97
길음서희스타힐스,,하월곡동,229,"72,300",84.91
안암,,안암동4가,23-3,"19,950",52.1
롯데캐슬골든힐스,1105,길음동,1287-1,"82,000",59.9284
한신플러스A,,동소문동4가,280,"102,000",156.33
성북힐스테이트(102동),,하월곡동,88-957,"98,000",114.68
롯데캐슬클라시아,,길음동,1289,"119,700",59.7812
래미안세레니티,,종암동,133,"129,000",114.99
래미안라센트,,종암동,134,"91,500",59.98
길음뉴타운신안파크아파트,,길음동,635-168,"45,800",68.14
중앙하이츠빌1단지,,정릉동,494,"68,000",84.98
삼선에스케이뷰,,삼선동3가,116,"106,500",84.94
길음뉴타운5단지(래미안),,길음동,1282,"83,000",59.75
우남푸르미아,,상월곡동,55-56,"62,000",84.51
돈암동 풍림아파트 101~105동,,돈암동,632,"64,000",84.68
정릉꿈에그린,,정릉동,1037,"82,250",84.56
일신건영휴먼빌아파트,,돈암동,524,"75,500",84.98
돈암동일하이빌,,동소문동5가,120,"95,000",84.958
래미안포레카운티,,장위동,322,"102,000",84.97
래미안길음센터피스,102,길음동,1288,"104,000",59.97
우림카이저팰리스,,종암동,132,"73,500",84.98
한신플러스C,,동소문동7가,23,"72,500",59.91
범양,,돈암동,631,"59,800",59.79
길음뉴타운7단지(두산위브),702,길음동,1285,"90,000",84.96
정릉e-편한세상,,정릉동,1028,"64,700",59.77
꿈의숲아이파크,,장위동,323,"98,000",59.1
길음뉴타운데시앙,,정릉동,1018,"52,000",59.42
우방아파트,,장위동,312,"55,000",59.98
래미안장위퍼스트하이,,장위동,320,"139,000",116.91
길음뉴타운6단지(래미안),,길음동,1283,"119,500",84.049
길음뉴타운3단지푸르지오,,길음동,1280-1,"82,500",84.97
종암에스케이,,종암동,104-1,"82,000",84.72
이편한세상보문,,보문동3가,230,"93,000",84.904
이수브라운스톤돈암,,돈암동,636,"91,000",84.97
돈암동삼성,,돈암동,15-1,"74,000",84.59
돈암힐스테이트,,돈암동,639,"71,500",59.38
아이파크종암동1차,,종암동,130,"98,000",84.98
정릉우성아파트 101~105동,,정릉동,1020,"65,000",84.99
래미안아트리치,,석관동,410,"110,000",84.94
월곡래미안루나밸리,,하월곡동,226,"82,000",59.98
삼부컨비니언,,길음동,1276,"58,000",59.94
송산아파트,,동소문동4가,279,"54,000",58.59
보문파크뷰자이,,보문동6가,458,"97,000",59.19
대광,사,안암동3가,136-1,"20,000",47.87
길음현대,,길음동,1277,"40,000",32.98
삼전솔하임3차,,하월곡동,88-510,"10,200",15.52
성신여대역솔하임,,동소문동5가,15,"21,300",14.093
브라운스톤동선,,동소문동7가,120,"83,000",59.95
돈암코오롱하늘채,,돈암동,644,"108,000",84.757
꿈의숲코오롱하늘채,,장위동,319,"87,000",59.5
장위지웰에스테이트,,장위동,322-22,"44,000",39.975
삼선푸르지오,,삼선동2가,425,"73,000",59.95
꿈의숲푸르지오,,하월곡동,228,"71,600",59.65
길음뉴타운경남아너스빌,,정릉동,1015,"60,000",59.59
꿈의숲대명루첸아파트,,장위동,317,"75,500",59.988
길음뉴타운8단지(래미안),,길음동,1284,"99,500",59.99
길음역금호어울림센터힐,,돈암동,643,"80,000",59.84
쌍용2,,정릉동,1017,"51,000",59.9
길음뉴타운9단지(래미안),,길음동,1286,"129,000",114.91
우정에쉐르,,정릉동,1033,"66,000",83.71
석관래미안,,석관동,407,"79,000",59.9
정릉푸르지오,,정릉동,406,"65,500",59.98
월곡두산위브,,하월곡동,222,"83,500",84.992
길음뉴타운2단지푸르지오,,길음동,1280,"70,300",59.99
길음뉴타운4단지(e편한세상),,길음동,1281,"98,000",84.64
보문리슈빌하우트,,보문동1가,228,"144,700",84.9055
정릉2차e-편한세상,,정릉동,1035,"73,500",59.37
길음동동부센트레빌(1278-0),,길음동,1278,"82,000",84.844
현대I-PARK,,보문동3가,2,"81,500",59.65
래미안월곡,,하월곡동,225,"95,800",84.589
돈암동더샵아파트,,돈암동,603,"77,500",84.817
동아에코빌,,상월곡동,101,"59,500",59.95
래미안크리시엘,,종암동,80,"79,000",84.95
한진(609-1),,돈암동,609-1,"76,000",84.87
길음뉴타운1단지(래미안길음1차),,길음동,1279,"85,800",59.99
번동금호어울림,,번동,656,"46,000",59.43
꿈의숲수림채,,번동,118-15,"48,000",107.1
북한산네이처파크,,수유동,734,"39,000",50.26
북한산굿모닝,,우이동,175,"38,500",77.71
효성네오인텔리안,,번동,418-3,"51,500",71.05
JKapartment,,수유동,130-43,"30,000",54.03
부강쉐르빌,,수유동,281-51,"24,000",54.66
삼성빌리지(223-14),,수유동,223-14,"20,500",58.51
두원프라자,,미아동,1351,"63,500",120.95
북한산노블리스빌,,우이동,84-8,"70,000",231.6
태솔캡슬,,수유동,50-20,"30,500",49.37
포엠빌,,수유동,190-18,"46,000",73.615
해모로아파트,,번동,139,"47,700",59.94
한솔힐스빌,,수유동,410-45,"26,000",59.82
성북프라자,,미아동,318-5,"48,000",68.675
현대(190-2),,미아동,190-2,"60,000",84.91
주공1단지,111,번동,242,"45,000",41.3
현대성우,,미아동,561-2,"47,800",59.4
스카이캐슬,,번동,446-59,"20,000",14.13
꿈의숲한신더휴,,미아동,1371,"69,500",59.9894
푸르지오시티,수유역푸르지오시티,미아동,160-3,"11,900",18.6479
영남,,수유동,192-61,"43,500",84.9
신원,101,번동,204,"39,000",59.96
주공4단지,,번동,234,"30,300",41.3
수유프리미어엠,,수유동,48-8,"11,400",19
미아한일유앤아이,,미아동,1355,"75,000",116.912
수유시그니티,,수유동,87-5,"34,600",33.19
기산그린,,번동,191,"49,500",84.94
수유현대,,수유동,729,"54,500",84.51
수유역하이씨티,,수유동,733,"7,500",12.01
한원힐트리움수유,,수유동,738,"25,000",27.39
번동솔그린,,번동,136,"44,500",59.82
미아동부센트레빌,,미아동,474,"76,750",59.96
송천센트레빌,203,미아동,461,"74,000",84.965
