LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,전일,7-9시,18-20시
1018592,일반국도,통일로,서울특별시,은평구,0.938,6,26449,4736,5226
1018605,일반국도,연서로,서울특별시,은평구,0.172,6,27116,4538,4477
1018606,일반국도,연서로,서울특별시,은평구,0.172,6,26084,4769,4577
1018607,일반국도,증산로,서울특별시,은평구,0.73,6,25315,4930,4201
1018608,일반국도,증산로,서울특별시,은평구,0.73,6,26114,4330,4378
1018618,일반국도,통일로,서울특별시,은평구,0.394,6,27038,4695,4813
1018619,일반국도,통일로,서울특별시,은평구,0.496,6,27807,4783,4817
1018620,일반국도,통일로,서울특별시,은평구,0.931,6,25725,4554,4535
1018621,일반국도,통일로,서울특별시,은평구,0.931,6,25828,4391,4475
1018628,일반국도,연서로,서울특별시,은평구,0.589,6,25247,4263,4605
1035609,일반국도,영동대로,서울특별시,강남구,0.537,4,36743,5647,7271
1035611,일반국도,영동대로,서울특별시,강남구,0.068,4,37862,5784,7294
1035634,일반국도,송파대로,서울특별시,송파구,0.411,5,36831,5733,7020
1035635,일반국도,송파대로,서울특별시,송파구,0.477,5,39689,6183,7340
1035676,일반국도,송파대로,서울특별시,송파구,0.421,5,37820,6130,6965
1035769,일반국도,양재대로,서울특별시,서초구,0.079,2,13206,2399,2361
1035807,일반국도,중앙로,서울특별시,서초구,0.126,2,15197,2928,3770
1035830,일반국도,태봉로,서울특별시,서초구,0.072,3,21577,4681,4255
1035831,일반국도,중앙로,서울특별시,서초구,0.182,2,15587,2829,2857
1035863,일반국도,중앙로,서울특별시,서초구,0.362,9,35871,5686,7661
1035906,일반국도,영동대로,서울특별시,강남구,0.254,2,22764,4060,4277
1035918,일반국도,중앙로,서울특별시,서초구,0.014,4,24709,4879,4865
1035919,일반국도,중앙로,서울특별시,서초구,0.014,4,40462,5396,5087
1035964,일반국도,천호대로,서울특별시,광진구,0.028,10,40999,7365,6133
1035965,일반국도,천호대로,서울특별시,광진구,0.028,10,45334,7023,8148
1035966,일반국도,동일로,서울특별시,광진구,0.033,2,19519,3891,3027
1035971,일반국도,천호대로,서울특별시,강동구,0.362,6,25609,4143,5046
1035972,일반국도,천호대로,서울특별시,강동구,0.362,6,27951,4556,5270
1036001,일반국도,왕산로,서울특별시,동대문구,0.68,6,25626,4520,4659
1036002,일반국도,왕산로,서울특별시,동대문구,0.68,6,25594,3922,4689
1036033,일반국도,종로,서울특별시,동대문구,0.733,6,26653,4830,4656
1036034,일반국도,종로,서울특별시,종로구,0.733,6,30421,4402,5533
1036050,일반국도,왕산로,서울특별시,동대문구,0.386,6,24809,4510,4312
1036051,일반국도,왕산로,서울특별시,동대문구,0.386,6,25824,4243,4516
1036075,일반국도,동일로,서울특별시,중랑구,0.895,6,29803,6638,4569
1036076,일반국도,동일로,서울특별시,광진구,0.436,6,26559,3692,5857
1036079,일반국도,천호대로,서울특별시,광진구,0.665,6,39693,6861,6294
1036080,일반국도,천호대로,서울특별시,광진구,0.665,6,31810,5486,5823
1036081,일반국도,천호대로,서울특별시,광진구,0.181,6,30021,5291,5586
1036082,일반국도,천호대로,서울특별시,광진구,0.181,6,27919,5288,4905
1036084,일반국도,천호대로,서울특별시,광진구,0.075,7,27579,4529,4900
1036085,일반국도,천호대로,서울특별시,광진구,0.075,7,36684,5721,6290
1036086,일반국도,자양로,서울특별시,광진구,0.739,4,21965,4147,3224
1036087,일반국도,자양로,서울특별시,광진구,0.739,4,27132,3601,5396
1036088,일반국도,천호대로,서울특별시,광진구,0.415,10,41248,6493,7995
1036089,일반국도,천호대로,서울특별시,광진구,0.415,10,41299,6857,8208
1036094,일반국도,천호대로,서울특별시,광진구,0.244,9,39514,5892,6932
1036095,일반국도,천호대로,서울특별시,광진구,0.307,9,40803,7775,5946
1036097,일반국도,천호대로,서울특별시,광진구,0.916,10,38668,6163,6869
1036098,일반국도,천호대로,서울특별시,광진구,0.916,10,40580,6981,7879
1036108,일반국도,동일로,서울특별시,광진구,0.032,2,12949,1763,2833
1036109,일반국도,동일로,서울특별시,광진구,0.121,2,13588,1958,2630
1036116,일반국도,동일로,서울특별시,광진구,0.136,2,22085,3353,4118
1036117,일반국도,동일로,서울특별시,광진구,1.184,6,30206,5366,4758
1036118,일반국도,동일로,서울특별시,광진구,1.184,6,33345,4444,6820
1036119,일반국도,동일로,서울특별시,광진구,0.315,4,19457,2536,4698
1036120,일반국도,동일로,서울특별시,광진구,0.315,4,22898,4637,3542
1036121,일반국도,동일로,서울특별시,광진구,0.121,2,15666,3822,2565
1036254,일반국도,동일로,서울특별시,성동구,0.215,1,16193,3141,1967
1036255,일반국도,동일로,서울특별시,성동구,0.537,4,35258,4930,6392
1036256,일반국도,동일로,서울특별시,성동구,0.537,4,35897,6821,5782
1036257,일반국도,동일로,서울특별시,성동구,0.085,6,33286,5460,6097
1036258,일반국도,동일로,서울특별시,성동구,0.085,6,32796,5013,5819
1036259,일반국도,동일로,서울특별시,성동구,0.217,2,17217,2288,3837
1036260,일반국도,동일로,서울특별시,광진구,0.083,5,31991,5637,5694
1036279,일반국도,동일로,서울특별시,성동구,0.363,6,29960,4609,5142
1036280,일반국도,동일로,서울특별시,광진구,0.363,6,33596,5781,5229
1036281,일반국도,동일로,서울특별시,광진구,0.747,6,29625,4239,4840
1036282,일반국도,동일로,서울특별시,광진구,0.747,6,27955,4850,4424
1036289,일반국도,자양로,서울특별시,광진구,0.484,6,25212,4220,4690
1036290,일반국도,자양로,서울특별시,광진구,0.484,6,25647,4072,4603
1036504,일반국도,영동대로,서울특별시,강남구,0.318,6,34293,4110,7047
1036505,일반국도,영동대로,서울특별시,강남구,0.318,6,43301,8509,6525
1036524,일반국도,자양로,서울특별시,광진구,0.274,6,26779,4568,5163
1036526,일반국도,자양로,서울특별시,광진구,0.201,6,21568,4144,4044
1036527,일반국도,자양로,서울특별시,광진구,0.201,6,25334,3963,4964
