,apartment,lat,lng,total_traffic
140,예성그린캐슬2차,37.5971934845523,127.102612235938,1352590
141,묵동자이(1단지),37.6148560082174,127.077906819525,2856986
142,월등스카이뷰,37.6141897486016,127.077050994091,2803357
143,미영리치타운,37.5950156902891,127.077877524896,2404962
144,동진노블클래스,37.5780587521201,127.085288086953,2250361
145,한일써너스빌리젠시1단지(101동),37.5973351400052,127.093477736804,2293370
146,문수해오름,37.5984814401257,127.096317153374,2293370
147,백림금호,37.5998940651894,127.107821388666,2379645
148,용마산금호어울림,37.5774275202186,127.091421465659,1445221
149,신내역힐데스하임참좋은아파트,37.6096322086455,127.105856760764,1989444
150,월드크라운,37.6088143884186,127.096824604357,2020930
151,동일스카이시티101동,37.6019864306232,127.089622962442,1225982
152,면목삼호101,37.5764203108934,127.088449167558,2394916
153,백운아파트,37.5947584409906,127.092849355096,2319690
154,쌍용더플래티넘용마산,37.5724959931949,127.085315476234,2268968
155,원당,37.6072232963871,127.097850301187,1989444
156,새한,37.6051905864565,127.101463214375,1398617
157,한양수자인사가정파크,37.5794901864405,127.094032791992,2394916
158,정은스카이빌,37.6180722801702,127.082007198802,2285204
159,늘푸른동아,37.5728763501551,127.080633631046,2250361
160,진로아파트,37.6140924325305,127.093292571921,1911481
161,다우훼밀리,37.6003850259687,127.096239885415,2368355
162,샤인힐,37.5967665167508,127.012991102956,1465835
163,풍산쉐르빌(815-1),37.6186774077418,126.999866682232,873286
164,코아루센타시아,37.5930327773352,127.019165692086,1465835
165,보문하우스토리,37.5841413862939,127.020967748216,1830346
166,대성유니드(641-0),37.5973189457117,127.020925811003,1932660
167,정릉힐스테이트,37.6028250097742,127.015555006077,1525627
168,라온유,37.6032122301232,127.018248295413,1958917
169,정릉스카이쌍용아파트,37.5995593887366,127.016729758853,1465835
170,동일하이빌뉴시티,37.605051194495,127.030996105009,1740558
171,아이파크종암동2차,37.5968551400627,127.031722511149,1926616
172,청기와,37.5886948079196,127.01447451526,1447436
173,샹그레빌아파트,37.5964358866582,127.041393315971,2179995
174,중앙하이츠빌2단지,37.6037394590557,127.010309279898,1465835
175,정릉힐스테이트1차,37.6001891568565,127.017519416786,1465835
176,돈암동해피트리,37.597995429021,127.011645485702,1465835
177,피오레,37.6171972611388,127.00090319015,873286
178,트라움하임,37.5955725469059,127.017663274029,1487429
179,성북힐스테이트(101동),37.6065445649621,127.030381206983,1740558
180,안암동삼성래미안,37.5893064316483,127.023748974341,1527422
181,센트럴힐,37.5967817181294,127.03395741749,1926616
182,돈암현대아파트,37.6032350599381,127.026198036694,1926616
183,청솔(269-25),37.646934977258,127.018174116348,2277119
184,장원(101),37.6245277312563,127.037646246097,2002622
185,수유벽산2차,37.6434341578327,127.017888750262,2277119
186,경원북한산휴그린,37.6460535979792,127.017826264401,2277119
187,젬스톤타운,37.6175157209994,127.033404698783,2031964
188,수유역두산위브1,37.6358377607602,127.03201596996,2209047
189,은석,37.6489399918793,127.015232605636,2277119
190,번동한양아파트,37.6267143060941,127.041240405765,2216072
191,수유역두산위브2,37.6356702917373,127.030911839139,2209047
192,형인휴아름,37.6383942201348,127.022192792632,2295022
193,수유삼호,37.6316903733062,127.023458274882,2261223
194,오동공원현대,37.6315060777268,127.035528776935,2002622
195,센트로힐,37.634699803905,127.036115344821,2270525
196,다인플레움,37.6586517021776,127.011938164744,2120854
197,도봉파크빌3,37.6876330896878,127.048658044037,2234261
198,이에스에이아파트3,37.6665592478836,127.044882127345,2434291
199,북한산한신휴플러스,37.6558003021092,127.042854036995,2386322
200,황지,37.6501793937443,127.036540979123,2290082
201,성원팰리스,37.6470757996143,127.03212719335,2266833
202,DK포시즌,37.6424106463897,127.041234691696,2318500
203,한양수자인,37.674550924771,127.047676582579,2512061
204,신일라이프(B동),37.6511200952129,127.025661515372,2333404
205,신원에벤에셀,37.657368090442,127.028238361724,2363028
206,신동아아파트5,37.6634040552475,127.028533511046,2447661
207,창동한승미메이드,37.6329124775143,127.042712078629,2324978
208,파라다이스빌,37.6560734842369,127.02741081892,2363028
209,이에스에이아파트1,37.6686272019433,127.045525245345,2455672
210,새로움아파트,37.6572009365265,127.040392346116,2351557
211,그린스테이트,37.651008639581,127.028801524773,2418006
212,삼보,37.6533677294364,127.02187292111,2293078
213,피스플하우스,37.6562079642853,127.036522854679,2355139
214,동부센트레빌아파트,37.6633180819517,127.039531579839,2460755
215,e편한세상,37.6497971759976,127.027292929292,2373878
216,창동현대4차,37.658956130778,127.046300185008,2351557
217,도봉산리베니움,37.6856420049315,127.043139662808,2605752
218,이에스에이아파트2,37.6663850778413,127.045614095751,2512061
219,초안산신도브래뉴,37.6334329434769,127.04255535448,2270525
220,동양크레오아파트,37.6643336090575,127.030293219915,2488135
221,우암쎈스뷰아파트,37.6637734556532,127.045715521487,2434291
222,백조,37.6460347946701,127.026343935522,2252752
223,성원하이츠A동,37.6575747203012,127.038883697083,2355139
224,창동한신휴플러스(621-69),37.645665566891,127.035022338758,2320737
225,신동아타워아파트,37.6622481099352,127.028848254054,2568059
226,창동3차현대,37.6601328076645,127.046083204845,2351557
227,방학동삼성래미안1,37.6669775389205,127.047276059135,2512061
228,창동신도브래뉴1차,37.6561948591986,127.045221985792,2386322
229,효성하이타운아파트,37.6610445435325,127.033100853351,2516156
230,신동아아파트3,37.6603784146842,127.023012949031,2444163
231,쌍문동LG트윈빌2,37.6587004128449,127.035433048646,2355139
232,한신APT,37.6390073330476,127.04104643223,2239326
233,극동의푸른별1차,37.6450196152645,127.081845436388,2528144
234,현대4차,37.6731076450664,127.050702832465,2016060
235,광덕파크빌아파트,37.6225426458045,127.077434214706,2285204
236,초안산쌍용스윗닷홈,37.6305824413885,127.044410845954,2057075
237,씨엠아파트,37.6227688224453,127.07329808795,2496822
238,우림루미아트201동,37.6746150401556,127.057085920498,2124266
239,상계우방유쉘,37.6719775519059,127.05681832076,2070163
240,중계스타클래스,37.6588550742898,127.077350763596,2572314
241,녹천역두산위브아파트,37.6406037217621,127.052769690439,2121371
242,건영장미아파트,37.6291371037778,127.075414954062,2299052
243,하늘공원(101동),37.6252618833567,127.080311492431,2285204
244,노원IPARK,37.6597839375192,127.069159557523,2774342
245,상계대림e편한세상,37.6748157140036,127.050930136747,1989444
246,동도센트리움(601),37.6582723331521,127.073380575983,2774342
247,중계3벽산,37.6542913240526,127.073557408671,2774342
248,정진아트리움,37.662033497416,127.075494801587,2825261
249,상계1차현대아파트,37.672725166933,127.052784607479,2016060
