name,lat,lng
브라운스톤남산,37.5513269555659,126.976254594307
아스테리움용산,37.5276308275423,126.968859586066
센트레빌아스테리움서울,37.5516713863735,126.973210049015
나인원한남,37.5362536827062,127.003364799713
신동아1,37.5258603048593,127.001851124058
용산더프라임,37.5402099307352,126.970096406378
금호베스트빌1,37.5228580868465,126.991973730982
임선웰빙아파트,37.5411686301352,126.963786454603
CJ나인파크,37.5360844630167,126.969170724866
극동그린,37.542081527886,127.009867068046
브라운스톤2차,37.5475783898582,127.015346844143
청계천대성스카이렉스1,37.5719992994833,127.02391225637
한신플러스A,37.5934162754805,127.011174184761
삼선에스케이뷰,37.5873141701073,127.011639179336
정릉꿈에그린,37.60163325465,127.010858105946
일신건영휴먼빌아파트,37.6007329051266,127.012568720788
이편한세상보문,37.5826754585576,127.015840868484
