LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,승용_전일,승용_7_9,승용_18_20,승용_8,승용_9,승용_19,승용_20,버스_전일,버스_7_9,버스_18_20,버스_8,버스_9,버스_19,버스_20,화물_전일,화물_7_9,화물_18_20,화물_8,화물_9,화물_19,화물_20,합계_전일,합계_7_9,합계_18_20,합계_8,합계_9,합계_19,합계_20
8902349,일반국도,천호대로,서울특별시,강동구,0.1970,6,25820,4121,4736,1544,1538,1652,1304,22559,3588,4245,1330,1384,1475,1190,920,170,150,50,53,53,52,2341,365,342,165,102,124,62
8902350,일반국도,천호대로,서울특별시,강동구,0.1970,6,31886,5111,5067,1757,1787,1710,1594,28399,4504,4550,1522,1576,1521,1442,875,162,143,58,58,48,51,2611,445,375,176,153,142,101
8902353,일반국도,천호대로,서울특별시,강동구,0.2030,8,37251,6258,6305,2243,2169,2172,1923,33111,5387,5735,1914,1932,1982,1774,1315,288,204,102,85,63,73,2825,585,366,228,152,128,75
8902354,일반국도,천호대로,서울특별시,강동구,0.2030,8,36213,6270,6216,2225,2238,2253,1829,31628,5369,5607,1893,1947,2040,1653,1435,244,238,95,72,78,80,3150,656,373,238,218,136,97
8902355,일반국도,천호대로,서울특별시,강동구,0.0780,9,35788,6295,6362,2336,2273,2214,1873,30840,5425,5625,2044,1970,1955,1706,1652,302,281,100,102,103,83,3296,569,457,193,201,156,84
8902356,일반국도,천호대로,서울특별시,강동구,0.0780,9,33752,6353,5839,2271,2286,1980,1789,29546,5544,5234,1974,2026,1777,1591,1892,343,326,116,112,109,119,2314,467,279,181,148,94,79
8902357,일반국도,천호대로,서울특별시,강동구,0.2140,4,36047,6044,5936,2313,2235,1999,1915,30552,5069,5120,1950,1902,1714,1691,1901,319,303,108,105,98,105,3594,656,513,254,229,187,119
8902358,일반국도,천호대로,서울특별시,강동구,0.9580,5,34425,5804,6048,2082,2168,2109,1845,29192,4848,5299,1732,1837,1854,1621,1910,332,321,125,109,108,108,3323,624,430,225,222,148,117
8902370,일반국도,천호대로,서울특별시,강동구,0.3940,5,34060,6401,5867,2308,2350,1997,1873,28788,5387,5082,1930,2031,1724,1642,2019,362,340,126,123,116,110,3253,652,445,252,196,157,121
8902372,일반국도,천호대로,서울특별시,강동구,0.0170,5,31212,5816,5786,2063,2217,2062,1770,27091,4945,5192,1785,1893,1850,1624,1604,333,245,128,108,89,66,2517,539,349,150,216,123,79
8902374,일반국도,천호대로,서울특별시,강동구,0.0160,5,30145,5788,5651,2052,2210,2101,1592,26308,4925,5121,1707,1950,1932,1418,1462,308,244,123,90,81,82,2375,554,285,222,169,87,92
8902379,일반국도,천호대로,서울특별시,강동구,0.6230,5,30981,6147,5872,2242,2568,2235,1345,26244,5157,5194,1852,2267,1967,1155,1450,327,273,103,110,94,86,3287,663,403,287,191,173,103
8902382,일반국도,천호대로,서울특별시,강동구,0.7140,5,34389,5751,6639,2127,2238,2411,1947,29504,4772,5918,1758,1936,2128,1724,1510,308,276,105,96,96,93,3376,672,445,264,207,188,129
8902394,일반국도,천호대로,서울특별시,강동구,2.1010,5,38662,6812,7338,2499,2569,2709,1985,31766,5531,6272,2044,2157,2319,1674,1515,304,266,114,98,89,85,5381,977,799,341,314,301,226
8902406,일반국도,조정대로,서울특별시,강동구,0.0490,3,30172,5488,5914,2300,2028,2069,1687,25527,4687,5261,1997,1718,1872,1558,865,161,147,71,56,46,41,3780,639,506,233,253,151,88
8902407,일반국도,조정대로,서울특별시,강동구,0.1880,3,19908,3047,3907,1020,1437,1359,1024,16954,2521,3490,813,1234,1247,911,733,145,124,48,55,42,41,2220,381,295,158,148,71,72
8902412,일반국도,천호대로,서울특별시,강동구,0.3670,3,34168,4793,6952,1703,1990,2406,2038,29729,3965,6265,1367,1681,2201,1840,822,154,149,67,45,47,55,3617,673,537,269,264,158,143
8902413,일반국도,천호대로,서울특별시,강동구,0.6340,7,41257,7561,7941,2929,2890,2800,2323,33856,6142,6571,2421,2347,2292,1959,1634,285,308,114,116,110,87,5768,1135,1060,394,428,398,276
8902416,일반국도,조정대로,서울특별시,강동구,0.0300,3,20358,4315,4321,1466,1724,1449,1370,17057,3720,3855,1263,1522,1301,1253,900,164,154,62,54,57,43,2401,433,312,142,149,91,74
8902532,일반국도,송파대로,서울특별시,송파구,0.0140,5,32324,5297,6017,1905,1770,2157,1876,25640,4209,4782,1544,1420,1730,1484,2363,359,479,124,125,167,172,4321,730,756,237,225,260,220
8902534,일반국도,송파대로,서울특별시,송파구,0.0180,5,34576,5901,6106,1964,2200,2054,1865,27953,4716,5208,1551,1843,1849,1568,2444,494,365,197,133,114,132,4179,692,532,216,224,91,164
8902538,일반국도,송파대로,서울특별시,송파구,0.4110,5,41146,6372,7280,2281,2462,2879,2000,33264,5010,6089,1800,2013,2479,1627,2379,449,347,157,121,101,138,5503,911,844,323,327,299,235
8902546,일반국도,송파대로,서울특별시,송파구,0.3100,5,38925,6367,6561,2293,2413,2111,1870,31768,5174,5404,1872,2012,1748,1530,2234,438,367,165,132,113,136,4923,755,792,256,268,251,205
8902547,일반국도,송파대로,서울특별시,송파구,0.3170,5,37084,6259,7787,2264,2526,2807,2193,29849,5062,6506,1862,2119,2398,1744,2244,385,410,128,127,137,143,4992,813,869,274,281,272,305
8902550,일반국도,송파대로,서울특별시,송파구,0.4840,5,40809,6922,7138,2403,2734,2357,1909,32715,5545,5923,1921,2256,1918,1541,2783,506,402,172,157,123,156,5311,873,816,310,322,317,213
